Alias_List,Alias_Group,Alias_Icon,Alias_Color,RID_Name,Alias_Type,RID_ID,Alias_Prot
NSWGRN,NSWAS,,-8388480,NSWAS - SouthCare Heli,radio,1000185,APCO25
NSWGRN,NSWAS,,-8388480,NSWAS - SouthCare Road,radio,1050500,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000004,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000006,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000008,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000009,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000010,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000011,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecomms Dispatch,radio,2000012,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecomms Dispatch,radio,2000013,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecomms Dispatch,radio,2000014,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000101,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000102,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000103,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000105,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000106,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000107,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000108,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 235 - Bowraville,radio,2000109,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecom Dispatch,radio,2000111,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Firecomms Dispatch,radio,2000112,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 82 - Richmond,radio,2000750,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - AP 462 - Mayfield West,radio,2005262,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 362 Alpha - Lismore,radio,2005297,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 357 - Lambton,radio,2005299,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 383 - Morisset,radio,2005324,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 447 - Swansea,radio,2005341,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 454 - Tarro,radio,2005350,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 484 - Wallsend,radio,2005370,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 484 - Wallsend,radio,2005373,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 292 - Doyalson,radio,2005639,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 292 - Doyalson,radio,2005640,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - AP 340 - Umina,radio,2005651,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - AP 340 - Umina,radio,2005654,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 358 - Laurieton,radio,2005657,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - AP 351 - Bateau Bay,radio,2005668,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 459 - Terrigal,radio,2005690,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - DC Newcastle 1,radio,2005728,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 220 - Bellbird,radio,2005829,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 237 - Branxton,radio,2005839,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 254 Alpha - Cessnock,radio,2005842,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 254 Alpha - Cessnock,radio,2005843,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 373 - East Maitland,radio,2005856,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 347 - Kingscliff,radio,2005860,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 453 - Taree,radio,2006059,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RT 295 - Forster,radio,2006162,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 255 - Charlestown,radio,2006238,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 454 - Tarro,radio,2006244,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 450 - Saratoga,radio,2006272,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - DC - Newcastle 1,radio,2006280,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 254 Alpha - Cessnock,radio,2006296,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RT 295 - Forster,radio,2006316,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 502 - Wingham,radio,2006439,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 264 - Coonabarabran,radio,2006643,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 208 - Aberdeen,radio,2006984,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 342 - Kandos,radio,2007040,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 392 - Muswellbrook,radio,2007064,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 393 - Merriwa,radio,2007073,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - AP 244 - Brewarrina,radio,2007288,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 256 - Cobar,radio,2007301,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 465 - Trangie,radio,2007406,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 440 - Shoalhaven,radio,2007542,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - STP 063 - Blacktown,radio,2007553,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 217 - Batemans Bay,radio,2007571,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 460 - The Entrance,radio,2007573,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 283 - Denman,radio,2007575,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 464 - Toronto,radio,2007584,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 224 - Berry,radio,2007603,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 505 - Wyong,radio,2007620,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 383 - Morisset,radio,2007622,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 363 - Lithgow,radio,2007642,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 471 - Tea Gardens,radio,2007653,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 82 - Richmond,radio,2007660,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 233 - Bourke,radio,2007668,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - AP 351 - Bateau Bay,radio,2007669,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 461 - Thirroul,radio,2007672,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 063 - Blacktown,radio,2007674,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 483 - Wallerwang,radio,2007683,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 392 - Muswellbrook,radio,2007685,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - CP 030 - Lidcombe,radio,2007693,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 346 - Kiama,radio,2007697,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 270 - Cowra,radio,2007709,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 353 - Kincumber,radio,2007714,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 237 - Branxton,radio,2007717,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 207 Alpha - Albion Park,radio,2007722,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 357 - Lambton,radio,2007726,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 468 Alpha - Tweed Head,radio,2007748,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 385 - Moss Vale,radio,2007759,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - CP 277 - Dapto,radio,2007762,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 511 - Yass,radio,2007772,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 4 - Darlinghurst,radio,2007774,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 252 - Carrington,radio,2007775,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 503 - Wollongong,radio,2007778,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP - 412 - Orange,radio,2007783,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - HT 234 - Bowral,radio,2007784,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 216 Alpha - Bathurst,radio,2007785,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 422 - Warrawong,radio,2007790,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - HT 455 - Rutherford,radio,2007791,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - LT 237 - Branxton,radio,2007801,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 485 - Wangi Wangi,radio,2007809,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - HP 051 - Forestville,radio,2007817,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 444 Siera - Singleton,radio,2007826,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 450 - Saratoga,radio,2007830,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 454 - Tarro,radio,2007831,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 484 - Wallsend,radio,2007832,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 357 Charlie - Lambton,radio,2007838,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 509 - Wyoming,radio,2007856,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 458 - Teralba,radio,2007862,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 75 - Berowra,radio,2007869,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 402 - Salamander Bay,radio,2007872,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RT 343 Alpha - Katoomba,radio,2007877,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 395 - Merimbula,radio,2007887,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - HP 305 - Goulburn,radio,2007916,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 498 - Holmesville,radio,2007939,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Rescue 75 - Berowra,radio,2007945,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 445 Bravo - Rutherford,radio,2007946,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 361 - Leura,radio,2007952,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 468 Alpha - Tweed Head,radio,2007960,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 399 - Narrabri,radio,2007964,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 251 - Cardiff,radio,2007973,APCO25
NSWGRN,NSWFR,,-8388480,NNSWFR - Flyer 1 - Sydney City,radio,2007976,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 448 Bravo - South Tammworth,radio,2007986,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - AP 340 - Umina,radio,2007987,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 397 Siera - Nambucca Heads,radio,2008007,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 393 - Merriwa,radio,2008013,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 270 - Cowra,radio,2008029,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 59 - Eastwood,radio,2008047,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 52 - Campsie,radio,2008054,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 448 Alpha - South Tammworth,radio,2008066,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 391 - Murwillumbah,radio,2008078,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 500 - Tingira Heights,radio,2008084,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 257 Bravo - Coffs Harbour,radio,2008089,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Hazmat 260 - Newcastle,radio,2008092,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 432 - Raymond Terrace,radio,2008110,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 269 - Corrimal,radio,2008117,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 496 - Werris Creek,radio,2008127,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 419 - Peak Hill,radio,2008129,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 384 - Moruya,radio,2008132,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - AP 340 - Umina,radio,2008144,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 376 - Merewether,radio,2008146,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 401 - Narromine,radio,2008154,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - CT 448 - South Tammworth,radio,2008155,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 250 - Canowindra,radio,2008162,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 202 - Abermain,radio,2008164,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Hazmat 260 - Newcastle,radio,2008165,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 043 - Seven Hills,radio,2008166,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 088 - Campbelltown,radio,2008171,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 280 Alpha - Dubbo,radio,2008172,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 405 - Nowra,radio,2008180,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 68 - Narrabeen,radio,2008182,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 340 - Umina,radio,2008201,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 505 - Wyong,radio,2008210,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - HP 453 - Taree,radio,2008212,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 357 - Lambton,radio,2008220,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 477 - Ulladulla,radio,2008225,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 301 - Glenbrook,radio,2008229,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 255 - Charlestown,radio,2008232,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 260 - Newcastle,radio,2008233,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 450 - Saratoga,radio,2008241,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 050 - Hornsby,radio,2008242,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - COMP 477 - Ulladulla,radio,2008244,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 220 - Bellbird,radio,2008247,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 446 - Stockton,radio,2008260,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 514 - Banora Point,radio,2008266,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 506 - Wee Waa,radio,2008273,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 343 - Katoomba,radio,2008287,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 412 - Orange,radio,2008296,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 357 - Lambton,radio,2008299,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 244 - Brewarrina,radio,2008304,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 260 - Newcastle,radio,2008307,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 82 - Richmond,radio,2008309,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 222 - Belmont,radio,2008318,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 241 - Bulli,radio,2008319,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 349 - Kurri Kurri,radio,2008321,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - DC Lower Hunter 1,radio,2008323,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Hazmat Support 260 - Newcastle,radio,2008331,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - CP 263 - Cooma,radio,2008335,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 374 - Maitland,radio,2008346,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 52 - Campsie,radio,2008347,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - SAR 7,radio,2008350,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - DC - Central Coast,radio,2008355,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 514 - Banora Point,radio,2008357,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 364 - Lithgow,radio,2008375,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 488 - Shellharbour,radio,2008377,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 493 - Wellington,radio,2008379,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Rescue 001 - City of Sydney,radio,2008380,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 222 - Belmont,radio,2008383,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 300 - Gilgandra,radio,2008385,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 446 - Stockton,radio,2008386,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 294 - Forbes,radio,2008387,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 248 - Queanbeyan,radio,2008400,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Team Leader Hazmat,radio,2008409,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - CP 455 - Rutherford,radio,2008415,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 038 - Pyrmont,radio,2008418,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - TR 357 - Lambton,radio,2008421,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 447 - Swansea,radio,2008423,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 341 Alpha - Kariong,radio,2008426,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 292 - Doyalson,radio,2008427,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 062 - Bankstown,radio,2008430,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 346 - Kiama,radio,2008438,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - CP 251 - Cardiff,radio,2008439,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 446 - Stockton,radio,2008442,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 255 - Charlestown,radio,2008459,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 468 Bravo - Tweeds Head,radio,2008461,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - LSV 351 -  Bateau Bay,radio,2008472,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 84 - Macquarie Fields,radio,2008473,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 498 - Holmesville,radio,2008483,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 367 - Lightning Ridge,radio,2008487,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 500 - Tingira Heights,radio,2008489,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - AP 462 - Mayfield West,radio,2008491,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - CO2,radio,2008502,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - HT 387 - Mudgee,radio,2008504,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 444 - Singleton,radio,2008507,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 255 - Charlestown,radio,2008510,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 378 - Mittagong,radio,2008511,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Zone Comander Central Coast,radio,2008516,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 259 - Condobolin,radio,2008524,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 81 - Windsor,radio,2008526,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 208 - Aberdeen,radio,2008545,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Hazmat Pumper 228 - Berkeley Vale,radio,2008549,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 387 - Mudgee,radio,2008551,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Hazmat 228 - Berkeley Vale,radio,2008553,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 245 - Budgewoi,radio,2008554,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 254 Bravo - Cessnock,radio,2008558,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 367 - Lightning Ridge,radio,2008567,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 341 Bravo - Kariong,radio,2008582,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 347 - Kingscliff,radio,2008625,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RT 482 - Walgett,radio,2008627,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 340 Bravo - Umina,radio,2008628,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 503 - Wollongong,radio,2008630,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 242 - Bundanoon,radio,2008633,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 016 - Concord,radio,2008640,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 234 - Bowral,radio,2008644,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 434 - Hamlyn Terrace,radio,2008646,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - DC - Newcastle 1,radio,2008648,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Hazmat 216 - Bathurst,radio,2008658,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 464 - Toronto,radio,2008667,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 105 - Kelso,radio,2008668,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 500 - Tingira Heights,radio,2008684,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 470 - Toukley,radio,2008687,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 024 - Manly,radio,2008691,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 363 - Lithgow,radio,2008698,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 349 - Kurri Kurri,radio,2008701,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 509 - Wyoming,radio,2008702,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 402 - Salamander Bay,radio,2008704,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 377 - Minmi,radio,2008712,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 312 - Gulgong,radio,2008715,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 15 - Burwood,radio,2008724,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 304 - Gosford,radio,2008725,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 256 - Cobar,radio,2008726,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - DC - Central West,radio,2008728,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 452 - Tamworth,radio,2008730,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 81 - Windsor,radio,2008781,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 382 - Morpeth,radio,2008789,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 459 - Terrigal,radio,2008790,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 20 - Hurstville,radio,2008792,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - DC Lower Hunter 2,radio,2008793,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 265 - Coonamble,radio,2008822,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 380 - Molong,radio,2008825,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RV 312 - Gulgong,radio,2008826,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 304 - Gosford,radio,2008901,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 359 - Lawson,radio,2008909,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 342 - Kandos,radio,2008910,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 495 - Wentworth Falls,radio,2008912,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 71 - Castle Hill,radio,2008920,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 373 - East Maitland,radio,2008937,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - HP 228 - Berkeley Vale,radio,2008938,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RC 381 - Moree,radio,2008939,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 202 - Abermain,radio,2008942,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Tanker 305 - Goulburn,radio,2008952,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 16 - Concord,radio,2008954,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 357 - Lambton,radio,2008969,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 445 Alpha - Rutherford,radio,2008972,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - RP 511 - Yass,radio,2009495,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - CP 434 - Hamlyn Terrace,radio,2009559,APCO25
NSWGRN,NSWFR,,-8388480,NSWFR - Pumper 254 Alpha - Cessnock,radio,2009574,APCO25
